Id,Title,Year,Style,Rating,Comments,Country,Quote,Link
19,天堂电影院,                            1988 , 剧情/爱情,9.1,305464, 意大利/法国 ,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://movie.douban.com/subject/1291828/
20,触不可及,                            2011 , 剧情/喜剧,9.1,359980, 法国 ,满满温情的高雅喜剧。,https://movie.douban.com/subject/6786002/
21,当幸福来敲门,                            2006 , 剧情/传记/家庭,8.9,530072, 美国 ,平民励志片。 ,https://movie.douban.com/subject/1849031/
22,搏击俱乐部,                            1999 , 剧情/动作/悬疑/惊悚,9.0,399490, 美国/德国 ,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://movie.douban.com/subject/1292000/
23,熔炉,                            2011 , 剧情,9.2,243837, 韩国 ,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://movie.douban.com/subject/5912992/
24,无间道,                            2002 , 剧情/犯罪/悬疑,9.0,390584, 香港 ,香港电影史上永不过时的杰作。,https://movie.douban.com/subject/1307914/
25,十二怒汉,                            1957 , 剧情,9.4,167908, 美国 ,1957年的理想主义。 ,https://movie.douban.com/subject/1293182/
26,怦然心动,                            2010 , 剧情/喜剧/爱情,8.9,533244, 美国 ,真正的幸福是来自内心深处。,https://movie.douban.com/subject/3319755/
27,指环王3：王者无敌,                            2003 , 剧情/动作/奇幻/冒险,9.1,280575, 美国/新西兰 ,史诗的终章。,https://movie.douban.com/subject/1291552/
28,天空之城,                            1986 , 动画/奇幻/冒险,9.0,326309, 日本 ,对天空的追逐，永不停止。 ,https://movie.douban.com/subject/1291583/
29,少年派的奇幻漂流,                            2012 , 剧情/奇幻/冒险,9.0,569475, 美国/台湾/英国/加拿大 ,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/
30,星际穿越,                            2014 , 剧情/科幻/冒险,9.1,472067, 美国/英国/加拿大 ,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
31,罗马假日,                            1953 , 喜剧/剧情/爱情,8.9,379436, 美国 ,爱情哪怕只有一天。,https://movie.douban.com/subject/1293839/
32,鬼子来了,                            2000 , 剧情/战争,9.2,222704, 中国大陆 ,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/
33,蝙蝠侠：黑暗骑士,                            2008 , 剧情/动作/科幻/犯罪/惊悚,9.0,311266, 美国/英国 ,无尽的黑暗。,https://movie.douban.com/subject/1851857/
34,大话西游之月光宝盒,                            1995 , 喜剧/动作/爱情/奇幻/冒险/古装,8.9,387825, 香港/中国大陆 ,旷古烁今。,https://movie.douban.com/subject/1299398/
35,活着,                            1994 , 剧情/家庭,9.1,259272, 中国大陆/香港 ,张艺谋最好的电影。,https://movie.douban.com/subject/1292365/
36,两杆大烟枪,                            1998 , 剧情/喜剧/犯罪,9.0,269146, 英国 ,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://movie.douban.com/subject/1293350/
37,飞屋环游记,                            2009 , 剧情/喜剧/动画/冒险,8.9,489287, 美国 ,最后那些最无聊的事情，才是最值得怀念的。 ,https://movie.douban.com/subject/2129039/
38,窃听风暴,                            2006 , 剧情/悬疑,9.1,217019, 德国 ,别样人生。,https://movie.douban.com/subject/1900841/
39,飞越疯人院,                            1975 , 剧情,9.0,272862, 美国 ,自由万岁。,https://movie.douban.com/subject/1292224/
40,海豚湾,                            2009 , 纪录片,9.3,178954, 美国 ,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
41,闻香识女人,                            1992 , 剧情,8.9,314589, 美国 ,史上最美的探戈。,https://movie.douban.com/subject/1298624/
42,V字仇杀队,                            2005 , 剧情/动作/科幻/惊悚,8.8,404766, 美国/英国/德国 ,一张面具背后的理想与革命。,https://movie.douban.com/subject/1309046/
43,哈尔的移动城堡,                            2004 , 爱情/动画/奇幻/冒险,8.9,339213, 日本 ,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/
44,教父2,                            1974 , 剧情/犯罪,9.1,182016, 美国 ,优雅的孤独。,https://movie.douban.com/subject/1299131/
45,美丽心灵,                            2001 , 传记/剧情,8.9,298086, 美国 ,爱是一切逻辑和原由。,https://movie.douban.com/subject/1306029/
46,指环王2：双塔奇兵,                            2002 , 剧情/动作/奇幻/冒险,8.9,264818, 美国/新西兰 ,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/
47,指环王1：魔戒再现,                            2001 , 剧情/动作/奇幻/冒险,8.9,295616, 新西兰/美国 ,传说的开始。,https://movie.douban.com/subject/1291571/
48,死亡诗社,                            1989 , 剧情,8.9,269572, 美国 ,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/
49,情书,                            1995 , 剧情/爱情,8.8,364734, 日本 ,暗恋的极致。,https://movie.douban.com/subject/1292220/
50,天使爱美丽,                            2001 , 喜剧/爱情,8.7,471763, 法国/德国 ,法式小清新。 ,https://movie.douban.com/subject/1292215/
51,美国往事,                            1984 , 犯罪/剧情,9.1,169940, 意大利/美国 ,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
52,控方证人,                            1957 , 剧情/犯罪/悬疑,9.6,80645, 美国 ,比利·怀德满分作品。,https://movie.douban.com/subject/1296141/
53,七宗罪,                            1995 , 剧情/犯罪/悬疑/惊悚,8.7,425202, 美国 ,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
54,钢琴家,                            2002 , 剧情/传记/历史/战争,9.0,197960, 法国/德国/英国/波兰 ,音乐能化解仇恨。,https://movie.douban.com/subject/1296736/
55,狮子王,                            1994 , 剧情/动画/冒险/歌舞/家庭,8.9,273680, 美国 ,动物版《哈姆雷特》。,https://movie.douban.com/subject/1301753/
56,辩护人,                            2013 , 剧情,9.1,191864, 韩国 ,电影的现实意义大过电影本身。,https://movie.douban.com/subject/21937445/
57,饮食男女,                            1994 , 剧情/家庭,9.0,187800, 台湾/美国 ,人生不能像做菜，把所有的料都准备好了才下锅。,https://movie.douban.com/subject/1291818/
58,被嫌弃的松子的一生,                            2006 , 剧情/歌舞,8.9,270918, 日本 ,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
59,致命魔术,                            2006 , 剧情/悬疑/惊悚,8.8,330657, 美国/英国 ,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
60,勇敢的心,                            1995 , 动作/传记/剧情/历史/战争,8.8,289441, 美国 ,史诗大片的典范。,https://movie.douban.com/subject/1294639/
61,小鞋子,                            1997 , 剧情/家庭/儿童,9.2,132048, 伊朗 ,奔跑的孩子是天使。,https://movie.douban.com/subject/1303021/
62,剪刀手爱德华,                            1990 , 剧情/奇幻/爱情,8.7,471232, 美国 ,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
63,音乐之声,                            1965 , 剧情/爱情/歌舞/家庭/传记,8.9,225772, 美国 ,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
64,低俗小说,                            1994 , 剧情/喜剧/犯罪,8.7,323359, 美国 ,故事的高级讲法。,https://movie.douban.com/subject/1291832/
65,入殓师,                            2008 , 剧情,8.8,311555, 日本 ,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
66,本杰明·巴顿奇事,                            2008 , 剧情/爱情/奇幻,8.7,381598, 美国 ,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
67,沉默的羔羊,                            1991 , 剧情/犯罪/惊悚,8.7,342062, 美国 ,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
68,黑客帝国,                            1999 , 动作/科幻,8.8,270709, 美国/澳大利亚 ,视觉革命。,https://movie.douban.com/subject/1291843/
69,素媛,                            2013 , 剧情/家庭,9.1,166841, 韩国 ,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/
70,蝴蝶效应,                            2004 , 剧情/悬疑/科幻/惊悚,8.7,369487, 美国/加拿大 ,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
71,拯救大兵瑞恩,                            1998 , 剧情/历史/战争,8.8,227569, 美国 ,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
72,西西里的美丽传说,                            2000 , 剧情/战争/情色,8.7,333115, 意大利/美国 ,美丽无罪。,https://movie.douban.com/subject/1292402/
73,玛丽和马克思,                            2009 , 剧情/爱情/动画,8.9,227711, 澳大利亚 ,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
74,疯狂动物城,                            2016 , 喜剧/动作/动画/冒险,9.2,472517, 美国 ,,https://movie.douban.com/subject/25662329/
75,心灵捕手,                            1997 , 剧情,8.7,260541, 美国 ,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
76,幽灵公主,                            1997 , 动作/爱情/战争/动画/奇幻/冒险,8.8,226597, 日本 ,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
77,春光乍泄,                            1997 , 剧情/爱情/同性,8.8,234896, 香港/日本/韩国 ,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
78,第六感,                            1999 , 剧情/悬疑/恐怖,8.8,226031, 美国 ,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
79,阳光灿烂的日子,                            1994 , 剧情,8.7,260590, 中国大陆/香港 ,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
80,让子弹飞,                            2010 , 剧情/喜剧/动作/西部,8.7,602052, 中国大陆/香港 ,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
81,大闹天宫,                            1961 ,/1978/,9.2,93352,/1964/,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
