regionId,name,country,color,coordinates,frequency,width
389->238,亚拉->美蕊莎,Sri Lanka,#D7DC1D,"<MultiGeometry><LineString><coordinates>81.401428,6.279678,0.0 80.471587,5.948262,0.0</coordinates></LineString></MultiGeometry>",4,3
874->236,科格勒->加勒,Sri Lanka,#D7DC1D,"<MultiGeometry><LineString><coordinates>80.335236,6.000704,0.0 80.220977,6.053519,0.0</coordinates></LineString></MultiGeometry>",5,3
1642->237,乌纳瓦图纳->科伦坡,Sri Lanka,#D7DC1D,"<MultiGeometry><LineString><coordinates>80.24886,6.017447,0.0 79.861243,6.927079,0.0</coordinates></LineString></MultiGeometry>",2,1
46->45,冰岛南部半岛->雷克雅未克,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-22.364967,63.91548,0.0 -21.817439,64.126521,0.0</coordinates></LineString></MultiGeometry>",25,3
46->51,冰岛南部半岛->冰岛西部区,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-22.364967,63.91548,0.0 -21.534129,64.770433,0.0</coordinates></LineString></MultiGeometry>",1,1
45->47,雷克雅未克->冰岛南部区,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-21.817439,64.126521,0.0 -18.815814,64.266143,0.0</coordinates></LineString></MultiGeometry>",26,3
45->172,雷克雅未克->哥本哈根,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-21.817439,64.126521,0.0 12.568337,55.676097,0.0</coordinates></LineString></MultiGeometry>",1,1
45->51,雷克雅未克->冰岛西部区,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-21.817439,64.126521,0.0 -21.534129,64.770433,0.0</coordinates></LineString></MultiGeometry>",3,1
45->164,雷克雅未克->斯德哥尔摩,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-21.817439,64.126521,0.0 18.068581,59.329324,0.0</coordinates></LineString></MultiGeometry>",1,1
45->28,雷克雅未克->赫尔辛基,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-21.817439,64.126521,0.0 24.941025,60.173324,0.0</coordinates></LineString></MultiGeometry>",1,1
47->48,冰岛南部区->冰岛东部区,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-18.815814,64.266143,0.0 -15.743398,64.832997,0.0</coordinates></LineString></MultiGeometry>",24,3
47->45,冰岛南部区->雷克雅未克,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-18.815814,64.266143,0.0 -21.817439,64.126521,0.0</coordinates></LineString></MultiGeometry>",2,1
48->16,冰岛东部区->慕尼黑,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-15.743398,64.832997,0.0 11.581981,48.135125,0.0</coordinates></LineString></MultiGeometry>",16,3
48->45,冰岛东部区->雷克雅未克,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-15.743398,64.832997,0.0 -21.817439,64.126521,0.0</coordinates></LineString></MultiGeometry>",1,1
48->49,冰岛东部区->冰岛北部区,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-15.743398,64.832997,0.0 -17.028028,65.471371,0.0</coordinates></LineString></MultiGeometry>",3,1
48->188,冰岛东部区->特罗姆瑟,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-15.743398,64.832997,0.0 18.955324,69.649205,0.0</coordinates></LineString></MultiGeometry>",3,1
48->1150,冰岛东部区->塞济斯菲厄泽,Iceland,#FC6923,"<MultiGeometry><LineString><coordinates>-15.743398,64.832997,0.0 -14.010116,65.259849,0.0</coordinates></LineString></MultiGeometry>",1,1
419->160,加米施-帕腾基兴->新天鹅堡,Germany,#0B2312,"<MultiGeometry><LineString><coordinates>11.095498,47.491695,0.0 10.749833,47.557531,0.0</coordinates></LineString></MultiGeometry>",7,3
169->170,罗瓦涅米->萨利瑟尔,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>25.729391,66.503948,0.0 27.410003,68.419664,0.0</coordinates></LineString></MultiGeometry>",14,3
169->189,罗瓦涅米->伊纳里,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>25.729391,66.503948,0.0 27.027755,68.906204,0.0</coordinates></LineString></MultiGeometry>",7,3
169->164,罗瓦涅米->斯德哥尔摩,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>25.729391,66.503948,0.0 18.068581,59.329324,0.0</coordinates></LineString></MultiGeometry>",2,1
169->28,罗瓦涅米->赫尔辛基,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>25.729391,66.503948,0.0 24.941025,60.173324,0.0</coordinates></LineString></MultiGeometry>",2,1
169->182,罗瓦涅米->凯米,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>25.729391,66.503948,0.0 24.565743,65.735568,0.0</coordinates></LineString></MultiGeometry>",1,1
170->189,萨利瑟尔->伊纳里,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>27.410003,68.419664,0.0 27.027755,68.906204,0.0</coordinates></LineString></MultiGeometry>",7,3
170->163,萨利瑟尔->希尔克内斯,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>27.410003,68.419664,0.0 30.045102,69.727116,0.0</coordinates></LineString></MultiGeometry>",7,3
170->326,萨利瑟尔->莱维,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>27.410003,68.419664,0.0 24.867829,67.783287,0.0</coordinates></LineString></MultiGeometry>",1,1
189->163,伊纳里->希尔克内斯,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>27.027755,68.906204,0.0 30.045102,69.727116,0.0</coordinates></LineString></MultiGeometry>",13,3
189->28,伊纳里->赫尔辛基,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>27.027755,68.906204,0.0 24.941025,60.173324,0.0</coordinates></LineString></MultiGeometry>",1,1
189->169,伊纳里->罗瓦涅米,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>27.027755,68.906204,0.0 25.729391,66.503948,0.0</coordinates></LineString></MultiGeometry>",1,1
189->170,伊纳里->萨利瑟尔,Finland,#24DA85,"<MultiGeometry><LineString><coordinates>27.027755,68.906204,0.0 27.410003,68.419664,0.0</coordinates></LineString></MultiGeometry>",1,1
115->114,布拉奇岛->赫瓦尔岛,Croatia,#9DA531,"<MultiGeometry><LineString><coordinates>16.656192,43.309469,0.0 16.668296,43.147678,0.0</coordinates></LineString></MultiGeometry>",5,3
200->356,卑尔根->弗洛姆,Norway,#EB9571,"<MultiGeometry><LineString><coordinates>5.322054,60.391263,0.0 7.111785,60.860772,0.0</coordinates></LineString></MultiGeometry>",2,1
200->463,卑尔根->沃斯,Norway,#EB9571,"<MultiGeometry><LineString><coordinates>5.322054,60.391263,0.0 6.422151,60.629562,0.0</coordinates></LineString></MultiGeometry>",1,1
